uo_cod;uo_sigla;fonte_cod;fonte_desc;analise_dcmefo
2101;IEF;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
2101;IEF;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2101;IEF;26;TAXA FLORESTAL - ADMINISTRACAO INDIRETA;
2101;IEF;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2101;IEF;52;TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL;
2101;IEF;60;RECURSOS DIRETAMENTE ARRECADADOS;
2101;IEF;61;RECURSOS DIRETAMENTE ARRECADADOS COM VINCULACAO ESPECIFICA;
2101;IEF;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2101;IEF;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;
2101;IEF;70;CONVENIOS COM OS MUNICIPIOS;
2101;IEF;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2101;IEF;79;CONTRIBUICAO PATRONAL PARA O FUNPREV;
2101;IEF;91;TAXA DE EXPEDIENTE - ADMINISTRACAO INDIRETA;
2121;IPSM;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2121;IPSM;49;CONTRIBUICAO PATRONAL DO ESTADO AOS INSTITUTOS DE PREVIDENCIA;
2121;IPSM;50;CONTRIBUICAO DO SERVIDOR DO ESTADO AOS INSTITUTOS DE PREVIDENCIA;
2121;IPSM;60;RECURSOS DIRETAMENTE ARRECADADOS;
2151;FHA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2151;FHA;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2151;FHA;60;RECURSOS DIRETAMENTE ARRECADADOS;
2161;FUCAM;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2161;FUCAM;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2161;FUCAM;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2161;FUCAM;60;RECURSOS DIRETAMENTE ARRECADADOS;
2171;FAOP;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2171;FAOP;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2171;FAOP;60;RECURSOS DIRETAMENTE ARRECADADOS;
2171;FAOP;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2181;FCS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2181;FCS;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2181;FCS;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2181;FCS;60;RECURSOS DIRETAMENTE ARRECADADOS;
2201;IEPHA;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2201;IEPHA;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
2201;IEPHA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2201;IEPHA;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2201;IEPHA;60;RECURSOS DIRETAMENTE ARRECADADOS;
2211;TV MINAS;60;RECURSOS DIRETAMENTE ARRECADADOS;
2211;TV MINAS;70;CONVENIOS COM OS MUNICIPIOS;
2241;IGAM;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2241;IGAM;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2241;IGAM;60;RECURSOS DIRETAMENTE ARRECADADOS;
2241;IGAM;61;RECURSOS DIRETAMENTE ARRECADADOS COM VINCULACAO ESPECIFICA;
2241;IGAM;73;ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;
2241;IGAM;79;CONTRIBUICAO PATRONAL PARA O FUNPREV;
2241;IGAM;91;TAXA DE EXPEDIENTE - ADMINISTRACAO INDIRETA;
2251;JUCEMG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2251;JUCEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2261;FUNED;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2261;FUNED;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2261;FUNED;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;registro de restituições de recursos aplicados em saúde em outra classificação a partir de 2025
2261;FUNED;60;RECURSOS DIRETAMENTE ARRECADADOS;
2271;FHEMIG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2271;FHEMIG;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
2271;FHEMIG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2271;FHEMIG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2271;FHEMIG;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2271;FHEMIG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2271;FHEMIG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2271;FHEMIG;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2271;FHEMIG;70;CONVENIOS COM OS MUNICIPIOS;
2281;UTRAMIG;36;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2281;UTRAMIG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2281;UTRAMIG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2301;DER-MG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2301;DER-MG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2301;DER-MG;51;CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO/COMBUSTIVEIS-CIDE;
2301;DER-MG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2301;DER-MG;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2301;DER-MG;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;
2301;DER-MG;70;CONVENIOS COM OS MUNICIPIOS;
2301;DER-MG;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2301;DER-MG;91;TAXA DE EXPEDIENTE - ADMINISTRACAO INDIRETA;
2311;UNIMONTES;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2311;UNIMONTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2311;UNIMONTES;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2311;UNIMONTES;36;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2311;UNIMONTES;60;RECURSOS DIRETAMENTE ARRECADADOS;
2311;UNIMONTES;70;CONVENIOS COM OS MUNICIPIOS;
2321;HEMOMINAS;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2321;HEMOMINAS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2321;HEMOMINAS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2321;HEMOMINAS;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2321;HEMOMINAS;60;RECURSOS DIRETAMENTE ARRECADADOS;"ausência de concursos previstos para a Fundação;  registro de restituições de recursos aplicados em saúde em outra classificação a partir de 2025"
2321;HEMOMINAS;70;CONVENIOS COM OS MUNICIPIOS;
2331;IPEMMG;73;ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;
2351;UEMG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2351;UEMG;3;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EMENDAS INDIVIDUAIS;
2351;UEMG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2351;UEMG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2351;UEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2361;IPLEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2371;IMA;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2371;IMA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2371;IMA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2371;IMA;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2371;IMA;60;RECURSOS DIRETAMENTE ARRECADADOS;
2371;IMA;91;TAXA DE EXPEDIENTE - ADMINISTRACAO INDIRETA;
2371;IMA;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;
2421;IDENE;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
2421;IDENE;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
2421;IDENE;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2421;IDENE;36;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2431;AGENCIA RMBH;60;RECURSOS DIRETAMENTE ARRECADADOS;
2441;ARSAE -MG;59;OUTROS RECURSOS VINCULADOS;
2461;ARMVA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2461;ARMVA;60;RECURSOS DIRETAMENTE ARRECADADOS;
3041;EMATER;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
3041;EMATER;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
3041;EMATER;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
3041;EMATER;60;RECURSOS DIRETAMENTE ARRECADADOS;
3041;EMATER;67;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM OS MUNICIPIOS;
3051;EPAMIG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
3051;EPAMIG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
3051;EPAMIG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
3051;EPAMIG;60;RECURSOS DIRETAMENTE ARRECADADOS;
3051;EPAMIG;70;CONVENIOS COM OS MUNICIPIOS;
3151;EMC;60;RECURSOS DIRETAMENTE ARRECADADOS;
4031;FEPJ;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
4031;FEPJ;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
4031;FEPJ;60;RECURSOS DIRETAMENTE ARRECADADOS;
4031;FEPJ;61;RECURSOS DIRETAMENTE ARRECADADOS COM VINCULACAO ESPECIFICA;
4031;FEPJ;70;CONVENIOS COM OS MUNICIPIOS;
4031;FEPJ;77;TAXA DE FISCALIZACAO JUDICIARIA E TAXAS E MULTAS JUDICIAIS;
4091;FIA;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
4091;FIA;60;RECURSOS DIRETAMENTE ARRECADADOS;
